 units:  kj/kg/day -- same as  deg/day
integrate
physical
physical           2
spectral
function            gate  q2  (phase three undisturbed)
      50.0      0.00 (assumed)
      92.6      0.00
     111.3      0.00
     133.6      0.00
     159.9      0.00
     190.8      0.01
     227.0      0.06
     268.8      0.22
     316.7      0.52
     370.8      0.83
     430.7      1.26
     495.7      1.99
     564.5      2.25
     635.0      2.00
     705.2      2.38
     772.8      3.13
     836.1      4.01
     893.8      4.41
     945.5      3.29
     991.2      0.89
    1010.0      0.00 (assumed)
source:  yanai (personal communication, march 1984)
 units:  kj/kg/day -- same as  deg/day
integrate
physical
physical           2
spectral
